"filename", "language", "Dart", "comment", "blank", "total"
"/Users/gopal/Documents/FlutterPro/ama/lib/ama_theme.dart", "Dart", 84, 1, 11, 96
"/Users/gopal/Documents/FlutterPro/ama/lib/main.dart", "Dart", 45, 0, 5, 50
"/Users/gopal/Documents/FlutterPro/ama/lib/modal/employees/employees.dart", "Dart", 14, 0, 2, 16
"/Users/gopal/Documents/FlutterPro/ama/lib/modal/employees/employeeschanger.dart", "Dart", 13, 0, 2, 15
"/Users/gopal/Documents/FlutterPro/ama/lib/modal/materials/materials.dart", "Dart", 16, 0, 2, 18
"/Users/gopal/Documents/FlutterPro/ama/lib/modal/materials/materialschanger.dart", "Dart", 9, 0, 3, 12
"/Users/gopal/Documents/FlutterPro/ama/lib/modal/sarees/sarees.dart", "Dart", 16, 0, 2, 18
"/Users/gopal/Documents/FlutterPro/ama/lib/modal/sarees/sarees_distribute/sarees_distribute.dart", "Dart", 16, 0, 2, 18
"/Users/gopal/Documents/FlutterPro/ama/lib/modal/sarees/sarees_distribute/sarees_distributechanger.dart", "Dart", 9, 0, 3, 12
"/Users/gopal/Documents/FlutterPro/ama/lib/modal/sarees/sareeschanger.dart", "Dart", 20, 0, 5, 25
"/Users/gopal/Documents/FlutterPro/ama/lib/resources/routes.dart", "Dart", 5, 0, 1, 6
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/actual_profit.dart", "Dart", 20, 0, 3, 23
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/bottom_navigation_bar/Employees/employee_details.dart", "Dart", 19, 0, 4, 23
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/bottom_navigation_bar/Employees/employee_screen.dart", "Dart", 76, 7, 5, 88
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/bottom_navigation_bar/calculator.dart", "Dart", 14, 0, 3, 17
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/bottom_navigation_bar/chats/chat.dart", "Dart", 74, 1, 3, 78
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/bottom_navigation_bar/chats/chat_screen.dart", "Dart", 63, 0, 6, 69
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/bottom_navigation_bar/item_material/addmaterials.dart", "Dart", 324, 0, 13, 337
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/bottom_navigation_bar/item_material/material_screen.dart", "Dart", 134, 5, 4, 143
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/bottom_navigation_bar/item_material/materials_search_screen.dart", "Dart", 114, 1, 8, 123
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/bottom_navigation_bar/item_saree/addsaree.dart", "Dart", 323, 6, 14, 343
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/bottom_navigation_bar/item_saree/adduser_ distribute_sarees.dart", "Dart", 144, 0, 9, 153
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/bottom_navigation_bar/item_saree/home.dart", "Dart", 165, 13, 7, 185
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/bottom_navigation_bar/item_saree/item_details.dart", "Dart", 162, 1, 7, 170
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/bottom_navigation_bar/item_saree/sarees_distribute_with_employees.dart", "Dart", 61, 0, 6, 67
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/bottom_navigation_bar/item_saree/sarees_distribution.dart", "Dart", 141, 1, 7, 149
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/bottom_navigation_bar/item_saree/sarees_search_screen.dart", "Dart", 118, 5, 7, 130
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/drawer.dart", "Dart", 101, 0, 2, 103
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/home_screen.dart", "Dart", 122, 5, 5, 132
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/notifications_screen.dart", "Dart", 16, 0, 2, 18
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/profile_page.dart", "Dart", 18, 0, 3, 21
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/screens.dart", "Dart", 16, 0, 0, 16
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/setting_screen.dart", "Dart", 128, 1, 6, 135
"/Users/gopal/Documents/FlutterPro/ama/lib/screens/splash_screen/splash_screen.dart", "Dart", 70, 0, 4, 74
"Total", "-", 2670, 47, 166, 2883
